experiment,K,C,scenario,routing_mode,num_routes,policy,n_drones,mean_h1,mean_h2,mean_risk,peak_h1,peak_h2,peak_risk,frames_per_drone,channel_util
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,aoi-normalized,6,59.1,287.9633333333333,1532.2896666666666,145,591,3002.4416,9,0.8042151162790697
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,aoi-sw,2,3.23,395.15999999999997,358.42425000000003,13,879,361.1831,40.5,0.8024556886820478
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,max-weight-drift,6,62.315,277.145,1549.1451,146,529,2979.8294,9.333333333333334,0.8037808748447633
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,max-weight-sw,2,3.385,405.88,348.8827,13,1157,356.2734,43,0.8006784633721463
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,mw-pe,6,3.3433333333333333,484.9383333333333,349.08231666666666,10,1023,403.2198,5.333333333333333,0.7974857142857142
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,pf-classic,6,68.57666666666667,319.175,1557.3396500000001,268,622,3006.7873,9.333333333333334,0.8039681430767082
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,pf-classic-sw,2,2.525,540.21,464.02915,15,1010,466.3192,31,0.8017503805175038
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,round-robin,6,133.67833333333334,306.485,5046.040466666666,501,521,16262.7922,9.333333333333334,0.804160394142603
capacity_15min_sw_nsw_assimetrico,1,2,2r_static,static,2,round-robin-sw,2,2.73,538.565,462.2728,24,1027,463.4791,31,0.8028956057912116
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,aoi-normalized,14,63.02285714285714,446.94142857142856,1690.4725642857143,147,1011,3159.2528,4.857142857142857,0.8025665175417942
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,aoi-sw,6,6.213333333333333,733.0016666666667,689.5587166666667,21,1618,822.066,20.166666666666668,0.8027938090241343
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,max-weight-drift,14,63.85,429.0657142857143,1697.6896285714286,147,1011,3268.5456,4.928571428571429,0.8032068289306725
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,max-weight-sw,6,4.928333333333333,965.615,767.7394,16,3184,933.9125,18.5,0.8035511363636364
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,mw-pe,14,5.837857142857143,824.4307142857143,479.1264357142857,19,1888,560.0034,2.5,0.7999612327970537
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,pf-classic,14,168.58142857142857,531.0764285714286,9307.616185714285,699,1321,27342.6533,4.928571428571429,0.8041495668034656
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,pf-classic-sw,6,4.588333333333333,1110.5816666666667,907.2198833333333,19,2045,1078.6077,15.666666666666666,0.8072289156626506
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,round-robin,14,251.45,519.0364285714286,11900.437221428572,1692,982,56749.1307,4.928571428571429,0.8030439684329199
capacity_15min_sw_nsw_assimetrico,1,4,2r_static,static,2,round-robin-sw,6,5.243333333333333,1109.3716666666667,907.0895833333334,56,2127,1068.9645,15.5,0.8024889942431426
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,aoi-normalized,30,64.88266666666667,666.2733333333333,1791.41592,150,1629,3455.5832,2.3666666666666667,0.8050391937290033
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,aoi-sw,12,11.299166666666666,1255.25,1156.6211333333333,33,2971,1378.7452,10.5,0.8070963253431156
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,max-weight-drift,30,65.489,675.8806666666667,1789.4238633333334,155,1659,3408.7228,2.433333333333333,0.8030534351145038
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,max-weight-sw,12,6.6375,2288.045,1546.593625,20,6598,1841.7029,7.333333333333333,0.8044596912521441
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,mw-pe,30,10.071333333333333,1029.009,565.8862533333333,29,2107,668.3061,1.1666666666666667,0.8096530335336305
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,pf-classic,30,474.8326666666667,841.0466666666666,27544.37336,2099,2107,72601.3896,2.5,0.805207026348808
capacity_15min_sw_nsw_assimetrico,1,8,2r_static,static,2,pf-classic-sw,12,8.421666666666667,2069.805,1493.9581583333334,33,4023,1733.0155,7.666666666666667,0.8031578103710828
